y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI,y2_state,y2_state_name
05,47,TN,Tennessee,1839,3286,99743,TN,Tennessee
05,12,FL,Florida,1743,3147,168386,FL,Florida
05,06,CA,California,1313,2218,84430,CA,California
05,22,LA,Louisiana,1063,1989,51255,LA,Louisiana
05,17,IL,Illinois,882,1480,49913,IL,Illinois
05,08,CO,Colorado,875,1397,53073,CO,Colorado
05,13,GA,Georgia,824,1481,50901,GA,Georgia
05,28,MS,Mississippi,793,1510,39475,MS,Mississippi
05,20,KS,Kansas,661,1173,36552,KS,Kansas
05,37,NC,North Carolina,642,1158,41029,NC,North Carolina
05,04,AZ,Arizona,582,1014,33285,AZ,Arizona
05,53,WA,Washington,513,905,31636,WA,Washington
05,01,AL,Alabama,513,1002,32906,AL,Alabama
05,26,MI,Michigan,503,844,24090,MI,Michigan
05,51,VA,Virginia,485,872,34119,VA,Virginia
05,39,OH,Ohio,463,898,31139,OH,Ohio
05,36,NY,New York,432,657,25358,NY,New York
05,18,IN,Indiana,409,767,20002,IN,Indiana
05,57,,,393,665,22367,,
05,19,IA,Iowa,359,707,17019,IA,Iowa
05,21,KY,Kentucky,337,613,20696,KY,Kentucky
05,55,WI,Wisconsin,310,514,17498,WI,Wisconsin
05,45,SC,South Carolina,310,570,21243,SC,South Carolina
05,42,PA,Pennsylvania,275,478,20354,PA,Pennsylvania
05,27,MN,Minnesota,269,504,14708,MN,Minnesota
05,41,OR,Oregon,259,441,14845,OR,Oregon
05,32,NV,Nevada,257,432,13573,NV,Nevada
05,49,UT,Utah,222,427,13748,UT,Utah
05,35,NM,New Mexico,202,351,9930,NM,New Mexico
05,31,NE,Nebraska,198,366,12184,NE,Nebraska
05,24,MD,Maryland,192,338,12087,MD,Maryland
05,25,MA,Massachusetts,163,253,11385,MA,Massachusetts
05,34,NJ,New Jersey,151,243,12907,NJ,New Jersey
05,16,ID,Idaho,134,266,8428,ID,Idaho
05,02,AK,Alaska,113,200,5630,AK,Alaska
05,15,HI,Hawaii,112,214,7037,HI,Hawaii
05,30,MT,Montana,98,188,6226,MT,Montana
05,46,SD,South Dakota,93,164,5379,SD,South Dakota
05,38,ND,North Dakota,80,152,3758,ND,North Dakota
05,09,CT,Connecticut,79,120,5223,CT,Connecticut
05,56,WY,Wyoming,78,141,3693,WY,Wyoming
05,11,DC,District Of Columbia,67,85,4028,DC,District Of Columbia
05,54,WV,West Virginia,62,92,4223,WV,West Virginia
05,23,ME,Maine,58,108,2991,ME,Maine
05,33,NH,New Hampshire,48,88,2824,NH,New Hampshire
05,50,VT,Vermont,33,45,1636,VT,Vermont
05,44,RI,Rhode Island,32,60,1862,RI,Rhode Island
05,10,DE,Delaware,32,59,2483,DE,Delaware
06,96,US+FO,Total Migration-US and Foreign,368462,616041,38038577,US+FO,Total Migration-US and Foreign
06,97,US,Total Migration-US,353260,590247,36074839,US,Total Migration-US
06,98,FO,Total Migration-Foreign,15202,25794,1963739,FO,Total Migration-Foreign
06,97,US,Total Migration-US,484153,798517,47546905,US,Total Migration-US
06,06,CA,California,15314612,30214656,1772983171,CA,California
06,48,TX,Texas,44417,82481,4764727,TX,Texas
06,04,AZ,Arizona,28402,47885,2486771,AZ,Arizona
06,32,NV,Nevada,26210,43801,2688408,NV,Nevada
06,53,WA,Washington,24625,38093,2745848,WA,Washington
06,36,NY,New York,20595,25783,2830915,NY,New York
06,12,FL,Florida,20241,34248,2639386,FL,Florida
06,41,OR,Oregon,16765,25392,1472744,OR,Oregon
06,57,,,15202,25794,1963739,,
06,08,CO,Colorado,14044,21800,1442518,CO,Colorado
06,47,TN,Tennessee,10246,19473,1114012,TN,Tennessee
06,37,NC,North Carolina,9978,18066,971623,NC,North Carolina
06,51,VA,Virginia,9309,17124,879221,VA,Virginia
06,17,IL,Illinois,9063,13617,944999,IL,Illinois
06,13,GA,Georgia,8796,15739,793031,GA,Georgia
06,49,UT,Utah,7916,13772,813178,UT,Utah
